Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
IL-027,Clinton County,55.7,95,1.1,54.6
IL-029,Coles County,53.3,95,1.1,52.2
IL-031,Cook County,50,97,1.2,48.8
IL-033,Crawford County,54.9,98,1.3,53.6
IL-035,Cumberland County,53.9,93,1.1,52.8
IL-037,DeKalb County,48.3,76,0.5,47.8
IL-039,De Witt County,52,97,1.2,50.8
IL-041,Douglas County,52.9,95,1.3,51.6
IL-043,DuPage County,49.6,95,1.1,48.5
IL-045,Edgar County,52.6,85,0.7,51.9
IL-047,Edwards County,56.2,101,1.3,54.9
IL-049,Effingham County,54,88,0.9,53.1
IL-051,Fayette County,54.2,86,0.7,53.5
IL-053,Ford County,51.2,94,1.1,50.1
IL-055,Franklin County,56,86,0.8,55.2
IL-057,Fulton County,51.9,84,0.6,51.3
IL-059,Gallatin County,56.6,78,0.5,56.1
IL-061,Greene County,54.3,88,0.8,53.5
IL-063,Grundy County,50.3,92,1.1,49.2
IL-065,Hamilton County,56,84,0.8,55.2
IL-067,Hancock County,52.1,77,0.4,51.7
IL-069,Hardin County,56.9,78,0.6,56.3
IL-071,Henderson County,50.9,73,0.3,50.6
IL-073,Henry County,49.6,81,0.5,49.1
IL-075,Iroquois County,51.2,96,1.2,50
IL-077,Jackson County,56.2,88,0.8,55.4
IL-079,Jasper County,54.6,95,1.1,53.5
IL-081,Jefferson County,55.5,86,0.6,54.9
IL-083,Jersey County,54.9,92,0.9,54
IL-085,Jo Daviess County,47.6,88,0.8,46.8
IL-087,Johnson County,56.8,85,0.8,56
IL-089,Kane County,48.6,82,0.7,47.9
IL-091,Kankakee County,50.7,95,1.1,49.6
IL-093,Kendall County,49.6,82,0.7,48.9
IL-095,Knox County,50.1,70,0.2,49.9
IL-097,Lake County,48.5,89,0.9,47.6
IL-099,LaSalle County,49.8,85,0.7,49.1
IL-101,Lawrence County,55.7,99,1.4,54.3
IL-103,Lee County,48.8,82,0.7,48.1
IL-105,Livingston County,50.2,80,0.6,49.6
IL-107,Logan County,52.5,91,0.9,51.6
IL-109,McDonough County,51.6,83,0.5,51.1
IL-111,McHenry County,47.7,81,0.6,47.1
IL-113,McLean County,51.2,96,1.2,50
IL-115,Macon County,52.6,90,1,51.6
IL-117,Macoupin County,53.9,88,0.8,53.1
IL-119,Madison County,55.4,89,0.8,54.6
IL-121,Marion County,54.9,89,0.8,54.1
IL-123,Marshall County,50.6,87,0.8,49.8
IL-125,Mason County,52.7,89,0.7,52
IL-127,Massac County,57.9,90,1.1,56.8
IL-129,Menard County,52.7,86,0.7,52
IL-131,Mercer County,50,71,0.2,49.8
IL-133,Monroe County,56.9,103,1.5,55.4
IL-135,Montgomery County,53.6,82,0.6,53
IL-137,Morgan County,53.1,88,0.7,52.4
IL-139,Moultrie County,52.9,91,0.9,52
IL-141,Ogle County,48.3,87,0.8,47.5
IL-143,Peoria County,51.6,97,1.3,50.3
IL-145,Perry County,55.8,88,0.8,55
IL-147,Piatt County,52.3,94,1.2,51.1
IL-149,Pike County,54.1,100,1.2,52.9
IL-151,Pope County,56.9,78,0.7,56.2
IL-153,Pulaski County,58,96,1.2,56.8
IL-155,Putnam County,50.1,77,0.3,49.8
IL-157,Randolph County,56.3,93,1,55.3
IL-159,Richland County,55.4,97,1.2,54.2
IL-161,Rock Island County,49.9,84,0.5,49.4
IL-163,St. Clair County,56.5,100,1.3,55.2
IL-165,Saline County,56.3,77,0.5,55.8
IL-167,Sangamon County,53.1,89,0.8,52.3
IL-169,Schuyler County,52.7,93,0.8,51.9
IL-171,Scott County,53.8,92,1,52.8
IL-173,Shelby County,53.3,88,0.7,52.6
IL-175,Stark County,49.9,82,0.5,49.4
IL-177,Stephenson County,47.7,94,1,46.7
IL-179,Tazewell County,52.3,102,1.5,50.8
IL-181,Union County,56.9,94,1,55.9
IL-183,Vermilion County,51.9,89,0.8,51.1
IL-185,Wabash County,56.2,99,1.3,54.9
IL-187,Warren County,50.2,69,0.1,50.1
IL-189,Washington County,55.5,87,0.7,54.8
IL-191,Wayne County,55.9,96,1.3,54.6
IL-193,White County,56.3,81,0.7,55.6
IL-195,Whiteside County,49.2,88,0.8,48.4
IL-197,Will County,50.1,85,0.9,49.2
IL-199,Williamson County,56.2,83,0.7,55.5
IL-201,Winnebago County,47.7,74,0.3,47.4
IL-203,Woodford County,51.3,100,1.5,49.8
IN-001,Adams County,50.9,99,1.4,49.5
IN-003,Allen County,50.7,100,1.4,49.3
IN-005,Bartholomew County,54.2,94,1.3,52.9
IN-007,Benton County,50.6,90,0.8,49.8
IN-009,Blackford County,51.7,102,1.3,50.4
IN-011,Boone County,51.6,100,1.4,50.2
IN-013,Brown County,53.5,97,1.2,52.3
IN-015,Carroll County,51.2,96,1,50.2
IN-017,Cass County,51,98,1.2,49.8
IN-019,Clark County,56.4,115,2.1,54.3
IN-021,Clay County,53.9,107,1.7,52.2
IN-023,Clinton County,51.3,98,1.2,50.1
IN-025,Crawford County,55.4,93,1,54.4
IN-027,Daviess County,55.2,103,1.6,53.6
IN-029,Dearborn County,54.7,114,2,52.7
IN-031,Decatur County,53.4,91,1.1,52.3
IN-033,DeKalb County,49.5,93,1.1,48.4
IN-035,Delaware County,52.4,108,1.9,50.5
IN-037,Dubois County,55.4,98,1.2,54.2
IN-039,Elkhart County,49.8,102,1.7,48.1
IN-041,Fayette County,52.5,100,1.4,51.1
IN-043,Floyd County,56.6,117,2.1,54.5
IN-045,Fountain County,51.6,87,0.7,50.9
IN-047,Franklin County,53.5,106,1.6,51.9
IN-049,Fulton County,50.5,102,1.6,48.9
IN-051,Gibson County,56.3,101,1.2,55.1
IN-053,Grant County,51.6,100,1.2,50.4
IN-055,Greene County,54.3,106,1.7,52.6
IN-057,Hamilton County,52,97,1.3,50.7
IN-059,Hancock County,52.9,102,1.6,51.3
IN-061,Harrison County,56.4,112,1.7,54.7
IN-063,Hendricks County,52.2,96,1.2,51
IN-065,Henry County,52,102,1.6,50.4
IN-067,Howard County,51.2,92,1,50.2
IN-069,Huntington County,50.8,94,0.9,49.9
IN-071,Jackson County,54.6,96,1.3,53.3
IN-073,Jasper County,50.3,92,0.9,49.4
IN-075,Jay County,51.4,100,1.4,50
IN-077,Jefferson County,55.4,111,1.9,53.5
IN-079,Jennings County,54.6,99,1.3,53.3
IN-081,Johnson County,53.2,100,1.4,51.8
IN-083,Knox County,55.6,102,1.5,54.1
IN-085,Kosciusko County,50.2,102,1.6,48.6
IN-087,LaGrange County,49.6,102,1.6,48
IN-089,Lake County,50,88,0.9,49.1
IN-091,LaPorte County,49.6,90,0.9,48.7
IN-093,Lawrence County,54.1,95,1.3,52.8
IN-095,Madison County,52.5,105,1.7,50.8
IN-097,Marion County,52.8,97,1.3,51.5
IN-099,Marshall County,50.1,102,1.7,48.4
IN-101,Martin County,54.9,109,1.7,53.2
IN-103,Miami County,51,97,1.1,49.9
IN-105,Monroe County,53.3,96,1.2,52.1
IN-107,Montgomery County,51.6,95,1.2,50.4
IN-109,Morgan County,53.1,97,1.2,51.9
IN-111,Newton County,50.5,91,1,49.5
IN-113,Noble County,49.7,101,1.3,48.4
IN-115,Ohio County,55.6,117,2.3,53.3
IN-117,Orange County,54.9,101,1.4,53.5
IN-119,Owen County,53.6,103,1.6,52
IN-121,Parke County,52.6,94,1,51.6
IN-123,Perry County,55.4,70,0.1,55.3
IN-125,Pike County,55.8,101,1.4,54.4
IN-127,Porter County,49.7,89,0.9,48.8
IN-129,Posey County,56.7,81,0.7,56
IN-131,Pulaski County,50.4,99,1.4,49
IN-133,Putnam County,52.3,94,1.1,51.2
IN-135,Randolph County,51.5,105,1.6,49.9
IN-137,Ripley County,54,106,1.5,52.5
IN-139,Rush County,52.7,98,1.3,51.4
IN-141,St. Joseph County,49.4,97,1.2,48.2
IN-143,Scott County,55.5,109,1.7,53.8
IN-145,Shelby County,53.5,99,1.4,52.1
IN-147,Spencer County,56.1,76,0.4,55.7
IN-149,Starke County,50.2,100,1.4,48.8
IN-151,Steuben County,49.1,101,1.4,47.7
IN-153,Sullivan County,54.9,107,1.8,53.1
IN-155,Switzerland County,56,119,2.4,53.6
IN-157,Tippecanoe County,51.2,91,0.8,50.4
IN-159,Tipton County,51.5,99,1.2,50.3
IN-161,Union County,52.8,108,1.7,51.1
IN-163,Vanderburgh County,56.8,87,1,55.8
IN-165,Vermillion County,52.4,82,0.6,51.8
IN-167,Vigo County,54,102,1.5,52.5
IN-169,Wabash County,50.9,96,1,49.9
IN-171,Warren County,51.2,87,0.7,50.5
IN-173,Warrick County,56.4,94,1.1,55.3
IN-175,Washington County,55,110,1.7,53.3
IN-177,Wayne County,52,109,1.7,50.3
IN-179,Wells County,50.9,94,1.1,49.8
IN-181,White County,50.6,90,0.9,49.7
IN-183,Whitley County,50.1,95,1.1,49
IA-001,Adair County,48.2,50,-0.3,48.5
IA-003,Adams County,49.1,66,0,49.1
IA-005,Allamakee County,45.9,81,0.6,45.3
IA-007,Appanoose County,50.4,67,0.1,50.3
IA-009,Audubon County,47.4,53,-0.2,47.6
IA-011,Benton County,46.8,45,-0.5,47.3
IA-013,Black Hawk County,46.3,53,-0.3,46.6
IA-015,Boone County,48.1,76,0.3,47.8
IA-017,Bremer County,45.9,73,0.3,45.6
IA-019,Buchanan County,45.8,50,-0.3,46.1
IA-021,Buena Vista County,45.8,57,-0.1,45.9
IA-023,Butler County,46,66,0,46
IA-025,Calhoun County,46.9,60,0,46.9
IA-027,Carroll County,47.3,68,0.2,47.1
IA-029,Cass County,48.6,54,-0.2,48.8
IA-031,Cedar County,48.2,55,-0.1,48.3
IA-033,Cerro Gordo County,45.1,66,0.1,45
IA-035,Cherokee County,45.7,48,-0.4,46.1
IA-037,Chickasaw County,44.8,65,0,44.8
IA-039,Clarke County,49.8,76,0.3,49.5
IA-041,Clay County,45.1,57,0,45.1
IA-043,Clayton County,46.4,76,0.5,45.9
IA-045,Clinton County,48.9,81,0.5,48.4
IA-047,Crawford County,47.3,67,0.1,47.2
IA-049,Dallas County,48.9,63,0,48.9
IA-051,Davis County,50.4,56,-0.1,50.5
IA-053,Decatur County,50.6,83,0.6,50
IA-055,Delaware County,46.5,76,0.5,46
IA-057,Des Moines County,50.5,65,0,50.5
IA-059,Dickinson County,44.2,50,-0.3,44.5
IA-061,Dubuque County,47.2,80,0.5,46.7
IA-063,Emmet County,44.2,50,-0.3,44.5
IA-065,Fayette County,45.6,78,0.4,45.2
IA-067,Floyd County,45.3,61,0,45.3
IA-069,Franklin County,45.9,74,0.3,45.6
IA-071,Fremont County,50.3,45,-0.6,50.9
IA-073,Greene County,47.8,68,0.2,47.6
IA-075,Grundy County,46.6,59,0,46.6
IA-077,Guthrie County,47.9,51,-0.2,48.1
IA-079,Hamilton County,46.4,53,-0.2,46.6
IA-081,Hancock County,44.7,49,-0.5,45.2
IA-083,Hardin County,46.7,71,0.2,46.5
IA-085,Harrison County,48.4,47,-0.3,48.7
IA-087,Henry County,49.1,27,-1.2,50.3
IA-089,Howard County,44,72,0.3,43.7
IA-091,Humboldt County,45.8,44,-0.6,46.4
IA-093,Ida County,46.5,54,-0.2,46.7
IA-095,Iowa County,48.7,78,0.5,48.2
IA-097,Jackson County,48.3,89,0.7,47.6
IA-099,Jasper County,48.8,71,0.1,48.7
IA-101,Jefferson County,49.1,32,-0.9,50
IA-103,Johnson County,48.6,61,0.1,48.5
IA-105,Jones County,48.1,92,0.9,47.2
IA-107,Keokuk County,49.3,72,0.3,49
IA-109,Kossuth County,45,51,-0.2,45.2
IA-111,Lee County,51,49,-0.4,51.4
IA-113,Linn County,47.4,70,0.2,47.2
IA-115,Louisa County,49.6,51,-0.3,49.9
IA-117,Lucas County,49.7,55,-0.1,49.8
IA-119,Lyon County,44.8,50,-0.3,45.1
IA-121,Madison County,49.1,54,-0.1,49.2
IA-123,Mahaska County,49.7,78,0.4,49.3
IA-125,Marion County,49.4,46,-0.4,49.8
IA-127,Marshall County,47.7,72,0.2,47.5
IA-129,Mills County,50,55,-0.3,50.3
IA-131,Mitchell County,44.4,66,0.1,44.3
IA-133,Monona County,47.6,49,-0.4,48
IA-135,Monroe County,50.1,57,0,50.1
IA-137,Montgomery County,49.6,67,-0.1,49.7
IA-139,Muscatine County,48.8,44,-0.6,49.4
IA-141,O'Brien County,45,48,-0.3,45.3
IA-143,Osceola County,44.1,45,-0.5,44.6
IA-145,Page County,50.4,71,0.1,50.3
IA-147,Palo Alto County,45.6,74,0.3,45.3
IA-149,Plymouth County,46.1,45,-0.4,46.5
IA-151,Pocahontas County,45.9,49,-0.4,46.3
IA-153,Polk County,49.2,59,0,49.2
IA-155,Pottawattamie County,49.2,56,-0.2,49.4
IA-157,Poweshiek County,48.5,78,0.5,48
IA-159,Ringgold County,50.2,83,0.7,49.5
IA-161,Sac County,46.6,60,0,46.6
IA-163,Scott County,49.6,86,0.7,48.9
IA-165,Shelby County,47.8,53,-0.2,48
IA-167,Sioux County,45.3,45,-0.5,45.8
IA-169,Story County,48,73,0.3,47.7
IA-171,Tama County,47.3,64,0,47.3
IA-173,Taylor County,50.1,82,0.5,49.6
IA-175,Union County,49.2,70,0.2,49
IA-177,Van Buren County,49.7,29,-1.2,50.9
IA-179,Wapello County,50.4,79,0.4,50
IA-181,Warren County,49.6,47,-0.3,49.9
IA-183,Washington County,48.8,49,-0.3,49.1
IA-185,Wayne County,50,59,0,50
IA-187,Webster County,46.6,50,-0.3,46.9
IA-189,Winnebago County,43.9,43,-0.7,44.6
IA-191,Winneshiek County,44.9,78,0.6,44.3
IA-193,Woodbury County,46.9,47,-0.3,47.2
IA-195,Worth County,43.9,44,-0.5,44.4
IA-197,Wright County,45.5,50,-0.4,45.9
KS-001,Allen County,55.9,61,-0.1,56
KS-003,Anderson County,55.2,58,-0.1,55.3
KS-005,Atchison County,53.6,83,0.6,53
KS-007,Barber County,56.9,74,0.4,56.5
KS-009,Barton County,54,50,-0.3,54.3
KS-011,Bourbon County,56,56,-0.1,56.1
KS-013,Brown County,52.7,78,0.5,52.2
KS-015,Butler County,56.3,87,0.6,55.7
KS-017,Chase County,55,79,0.5,54.5
KS-019,Chautauqua County,57.1,54,-0.3,57.4
KS-021,Cherokee County,57.7,79,0.3,57.4
KS-023,Cheyenne County,51.9,92,1.2,50.7
KS-025,Clark County,56.9,78,0.3,56.6
KS-027,Clay County,54.2,85,0.6,53.6
KS-029,Cloud County,53.4,71,0.2,53.2
KS-031,Coffey County,55.7,89,0.7,55
KS-033,Comanche County,56.6,70,0.2,56.4
KS-035,Cowley County,56.7,57,-0.1,56.8
KS-037,Crawford County,56.7,59,0,56.7
KS-039,Decatur County,51.6,73,0.2,51.4
KS-041,Dickinson County,55.5,94,1.2,54.3
KS-043,Doniphan County,53.3,76,0.3,53
KS-045,Douglas County,55.2,90,0.7,54.5
KS-047,Edwards County,54.7,66,-0.1,54.8
KS-049,Elk County,56.3,57,-0.1,56.4
KS-051,Ellis County,53.6,70,0.1,53.5
KS-053,Ellsworth County,55,83,0.5,54.5
KS-055,Finney County,54.6,93,1.1,53.5
KS-057,Ford County,55.4,91,0.6,54.8
KS-059,Franklin County,55.3,81,0.5,54.8
KS-061,Geary County,55,94,1,54
KS-063,Gove County,53.1,76,0.5,52.6
KS-065,Graham County,52.7,66,0,52.7
KS-067,Grant County,55.4,93,0.9,54.5
KS-069,Gray County,55,91,0.9,54.1
KS-071,Greeley County,52.8,89,1,51.8
KS-073,Greenwood County,55.8,76,0.3,55.5
KS-075,Hamilton County,54.2,87,0.7,53.5
KS-077,Harper County,57.4,76,0.3,57.1
KS-079,Harvey County,56.1,85,0.7,55.4
KS-081,Haskell County,55.4,96,1.1,54.3
KS-083,Hodgeman County,55.1,81,0.7,54.4
KS-085,Jackson County,53.5,85,0.6,52.9
KS-087,Jefferson County,54.4,90,0.8,53.6
KS-089,Jewell County,52,63,0,52
KS-091,Johnson County,54.9,84,0.6,54.3
KS-093,Kearny County,54.6,93,1.2,53.4
KS-095,Kingman County,56.2,71,0,56.2
KS-097,Kiowa County,55.2,60,-0.2,55.4
KS-099,Labette County,57.5,59,0,57.5
KS-101,Lane County,53.8,86,0.9,52.9
KS-103,Leavenworth County,54.8,92,0.9,53.9
KS-105,Lincoln County,54.4,83,0.6,53.8
KS-107,Linn County,55.6,69,0,55.6
KS-109,Logan County,53.1,87,0.9,52.2
KS-111,Lyon County,55.3,92,0.9,54.4
KS-113,McPherson County,55.8,91,1.1,54.7
KS-115,Marion County,55.4,89,0.8,54.6
KS-117,Marshall County,52.3,62,0,52.3
KS-119,Meade County,56.4,81,0.5,55.9
KS-121,Miami County,55.1,79,0.3,54.8
KS-123,Mitchell County,53.1,65,0,53.1
KS-125,Montgomery County,57.7,63,-0.1,57.8
KS-127,Morris County,55,95,1.2,53.8
KS-129,Morton County,55.9,93,0.9,55
KS-131,Nemaha County,52.3,73,0.3,52
KS-133,Neosho County,56.6,58,-0.2,56.8
KS-135,Ness County,54.2,73,0.3,53.9
KS-137,Norton County,51.3,53,-0.4,51.7
KS-139,Osage County,55.6,97,1.3,54.3
KS-141,Osborne County,53.1,63,0,53.1
KS-143,Ottawa County,54.9,87,1,53.9
KS-145,Pawnee County,54.2,54,-0.2,54.4
KS-147,Phillips County,51.9,50,-0.3,52.2
KS-149,Pottawatomie County,53.8,84,0.5,53.3
KS-151,Pratt County,55.2,54,-0.2,55.4
KS-153,Rawlins County,51.6,81,0.6,51
KS-155,Reno County,55.7,73,0.1,55.6
KS-157,Republic County,52.1,68,0.1,52
KS-159,Rice County,55,73,0.2,54.8
KS-161,Riley County,54.3,89,0.7,53.6
KS-163,Rooks County,53,57,-0.1,53.1
KS-165,Rush County,53.9,58,-0.1,54
KS-167,Russell County,54.3,77,0.4,53.9
KS-169,Saline County,56,99,1.5,54.5
KS-171,Scott County,53.8,93,1.2,52.6
KS-173,Sedgwick County,57,86,0.7,56.3
KS-175,Seward County,56.2,89,0.8,55.4
KS-177,Shawnee County,55.1,96,1.1,54
KS-179,Sheridan County,52.5,82,0.7,51.8
KS-181,Sherman County,52,99,1.4,50.6
KS-183,Smith County,51.9,53,-0.3,52.2
KS-185,Stafford County,54.4,49,-0.5,54.9
KS-187,Stanton County,55.3,91,0.9,54.4
KS-189,Stevens County,55.9,91,0.9,55
KS-191,Sumner County,57.4,74,0.2,57.2
KS-193,Thomas County,52,87,0.8,51.2
KS-195,Trego County,53.3,68,0.1,53.2
KS-197,Wabaunsee County,54.7,93,1,53.7
KS-199,Wallace County,52.6,92,1.2,51.4
KS-201,Washington County,52.4,67,0.1,52.3
KS-203,Wichita County,53.5,94,1.1,52.4
KS-205,Wilson County,56.9,67,0,56.9
KS-207,Woodson County,56.1,76,0.3,55.8
KS-209,Wyandotte County,55.1,91,1,54.1
KY-001,Adair County,58.1,120,2.5,55.6
KY-003,Allen County,58.5,99,1.3,57.2
KY-005,Anderson County,56.6,114,2,54.6
KY-007,Ballard County,58.5,99,1.4,57.1
KY-009,Barren County,58.1,102,1.3,56.8
KY-011,Bath County,55.5,94,1.1,54.4
KY-013,Bell County,55.3,83,0.7,54.6
KY-015,Boone County,55.6,117,2.2,53.4
KY-017,Bourbon County,55.8,113,1.9,53.9
KY-019,Boyd County,56.2,116,2.1,54.1
KY-021,Boyle County,56.1,103,1.5,54.6
KY-023,Bracken County,55.1,105,1.7,53.4
KY-025,Breathitt County,56.7,97,1.1,55.6
KY-027,Breckinridge County,56.3,89,1,55.3
KY-029,Bullitt County,57.2,111,1.7,55.5
KY-031,Butler County,58.3,106,1.5,56.8
KY-033,Caldwell County,57.9,87,0.8,57.1
KY-035,Calloway County,59,99,1.2,57.8
KY-037,Campbell County,55.6,115,2,53.6
KY-039,Carlisle County,58.7,99,1.2,57.5
KY-041,Carroll County,56.6,119,2.5,54.1
KY-043,Carter County,55.2,109,1.6,53.6
KY-045,Casey County,56.8,117,2,54.8
KY-047,Christian County,59,112,1.7,57.3
KY-049,Clark County,56.2,109,1.8,54.4
KY-051,Clay County,56.8,107,1.5,55.3
KY-053,Clinton County,58.5,120,2.6,55.9
KY-055,Crittenden County,57.4,78,0.7,56.7
