Ctyname,Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018
Autauga County,Alabama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Baldwin County,Alabama,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0
Barbour County,Alabama,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bibb County,Alabama,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Blount County,Alabama,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Bullock County,Alabama,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Butler County,Alabama,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Calhoun County,Alabama,1,15,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0
Chambers County,Alabama,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
Cherokee County,Alabama,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton County,Alabama,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Choctaw County,Alabama,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clarke County,Alabama,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Alabama,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Cleburne County,Alabama,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coffee County,Alabama,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Colbert County,Alabama,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Conecuh County,Alabama,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coosa County,Alabama,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Covington County,Alabama,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Crenshaw County,Alabama,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullman County,Alabama,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
Dale County,Alabama,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
Dallas County,Alabama,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
DeKalb County,Alabama,1,49,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4
Elmore County,Alabama,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1
Escambia County,Alabama,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etowah County,Alabama,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette County,Alabama,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Franklin County,Alabama,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Geneva County,Alabama,1,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Greene County,Alabama,1,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Hale County,Alabama,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Henry County,Alabama,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston County,Alabama,1,69,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1
Jackson County,Alabama,1,71,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0
Jefferson County,Alabama,1,73,1,4,2,3,2,0,2,2,0,0,0,0,3,0,4,3,2,4,4
Lamar County,Alabama,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Lauderdale County,Alabama,1,77,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Lawrence County,Alabama,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee County,Alabama,1,81,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,1,1
Limestone County,Alabama,1,83,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Lowndes County,Alabama,1,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Macon County,Alabama,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,Alabama,1,89,0,1,3,3,0,3,4,0,2,1,0,3,5,3,5,1,1,3,7
Marengo County,Alabama,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0
Marion County,Alabama,1,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marshall County,Alabama,1,95,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,2,0
Mobile County,Alabama,1,97,2,3,2,0,0,0,3,0,3,0,0,0,5,5,1,5,4,3,0
Monroe County,Alabama,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Montgomery County,Alabama,1,101,0,2,2,0,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0
Morgan County,Alabama,1,103,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,0
Perry County,Alabama,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickens County,Alabama,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pike County,Alabama,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph County,Alabama,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell County,Alabama,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0
St. Clair County,Alabama,1,115,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2
Shelby County,Alabama,1,117,0,0,0,0,0,0,0,1,0,0,0,1,2,4,6,2,4,1,0
Sumter County,Alabama,1,119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Talladega County,Alabama,1,121,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Tallapoosa County,Alabama,1,123,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0
Tuscaloosa County,Alabama,1,125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3
Walker County,Alabama,1,127,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0
Washington County,Alabama,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilcox County,Alabama,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston County,Alabama,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Alabama,1,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Aleutians East Borough,Alaska,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleutians West Census Area,Alaska,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage Municipality,Alaska,2,20,1,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3
Bethel Census Area,Alaska,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Bristol Bay Borough,Alaska,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali Borough,Alaska,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dillingham Census Area,Alaska,2,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fairbanks North Star Borough,Alaska,2,90,1,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1
Haines Borough,Alaska,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoonah-Angoon Census Area,Alaska,2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juneau City and Borough,Alaska,2,110,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1
Kenai Peninsula Borough,Alaska,2,122,0,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4
Ketchikan Gateway Borough,Alaska,2,130,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
Kodiak Island Borough,Alaska,2,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Kusilvak Census Area,Alaska,2,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake and Peninsula Borough,Alaska,2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matanuska-Susitna Borough,Alaska,2,170,0,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1
Nome Census Area,Alaska,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Slope Borough,Alaska,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Arctic Borough,Alaska,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg Borough,Alaska,2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Wales-Hyder Census Area,Alaska,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sitka City and Borough,Alaska,2,220,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
Skagway Municipality,Alaska,2,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeast Fairbanks Census Area,Alaska,2,240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdez-Cordova Census Area,Alaska,2,261,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Wrangell City and Borough,Alaska,2,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakutat City and Borough,Alaska,2,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yukon-Koyukuk Census Area,Alaska,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alaska,Alaska,2,999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Apache County,Arizona,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cochise County,Arizona,4,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0
Coconino County,Arizona,4,5,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,3,2
Gila County,Arizona,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0
Graham County,Arizona,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Greenlee County,Arizona,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Paz County,Arizona,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maricopa County,Arizona,4,13,1,2,3,1,10,7,6,0,8,3,0,7,3,16,10,2,5,14,1
Mohave County,Arizona,4,15,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1
Navajo County,Arizona,4,17,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
Pima County,Arizona,4,19,0,0,1,1,2,3,2,0,0,4,0,4,3,7,1,7,3,3,1
Pinal County,Arizona,4,21,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
Santa Cruz County,Arizona,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Yavapai County,Arizona,4,25,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1
Yuma County,Arizona,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Arizona,Arizona,4,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas County,Arkansas,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley County,Arkansas,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baxter County,Arkansas,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton County,Arkansas,5,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boone County,Arkansas,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley County,Arkansas,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,Arkansas,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll County,Arkansas,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicot County,Arkansas,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,Arkansas,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Arkansas,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleburne County,Arkansas,5,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland County,Arkansas,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia County,Arkansas,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conway County,Arkansas,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craighead County,Arkansas,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford County,Arkansas,5,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden County,Arkansas,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross County,Arkansas,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas County,Arkansas,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Desha County,Arkansas,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew County,Arkansas,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulkner County,Arkansas,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin County,Arkansas,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton County,Arkansas,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garland County,Arkansas,5,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grant County,Arkansas,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene County,Arkansas,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hempstead County,Arkansas,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Spring County,Arkansas,5,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard County,Arkansas,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence County,Arkansas,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Izard County,Arkansas,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County,Arkansas,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Arkansas,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson County,Arkansas,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County,Arkansas,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence County,Arkansas,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee County,Arkansas,5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,Arkansas,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little River County,Arkansas,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,Arkansas,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonoke County,Arkansas,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Madison County,Arkansas,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County,Arkansas,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller County,Arkansas,5,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi County,Arkansas,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe County,Arkansas,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Arkansas,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada County,Arkansas,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newton County,Arkansas,5,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouachita County,Arkansas,5,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry County,Arkansas,5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips County,Arkansas,5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike County,Arkansas,5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poinsett County,Arkansas,5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County,Arkansas,5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pope County,Arkansas,5,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Prairie County,Arkansas,5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pulaski County,Arkansas,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Randolph County,Arkansas,5,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Francis County,Arkansas,5,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saline County,Arkansas,5,125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott County,Arkansas,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Searcy County,Arkansas,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian County,Arkansas,5,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevier County,Arkansas,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharp County,Arkansas,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone County,Arkansas,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,Arkansas,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Buren County,Arkansas,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,Arkansas,5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
White County,Arkansas,5,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodruff County,Arkansas,5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yell County,Arkansas,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Arkansas,5,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alameda County,California,6,1,4,3,7,2,0,5,3,3,6,3,3,2,4,0,1,8,12,13,2
Alpine County,California,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador County,California,6,5,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0
Butte County,California,6,7,3,1,3,2,2,0,1,0,2,3,2,0,1,0,2,0,3,0,0
Calaveras County,California,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Colusa County,California,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa County,California,6,13,1,5,3,4,0,4,1,0,1,3,1,3,1,4,3,5,8,10,9
Del Norte County,California,6,15,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
El Dorado County,California,6,17,0,0,0,0,3,3,3,2,0,3,2,0,2,2,1,2,3,1,0
Fresno County,California,6,19,1,0,1,0,0,0,1,0,2,1,3,0,4,0,0,1,1,0,1
Glenn County,California,6,21,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
Humboldt County,California,6,23,10,4,5,5,7,11,4,6,6,4,14,8,2,4,5,8,6,2,1
Imperial County,California,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Inyo County,California,6,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kern County,California,6,29,2,0,2,1,0,2,1,2,5,2,2,0,0,0,0,1,1,1,0
Kings County,California,6,31,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
Lake County,California,6,33,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Lassen County,California,6,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles County,California,6,37,2,9,6,7,2,8,11,9,8,7,11,6,0,20,6,4,2,3,4
Madera County,California,6,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Marin County,California,6,41,3,1,4,4,0,3,6,3,2,3,4,1,3,6,3,3,3,0,2
Mariposa County,California,6,43,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0
Mendocino County,California,6,45,7,4,10,6,2,1,0,5,9,7,10,7,4,1,2,0,1,2,0
Merced County,California,6,47,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Modoc County,California,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mono County,California,6,51,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Monterey County,California,6,53,1,1,5,1,1,0,0,0,0,0,1,1,1,1,0,2,2,0,0
Napa County,California,6,55,2,3,1,0,1,1,0,3,0,2,0,1,2,1,2,1,1,0,2
Nevada County,California,6,57,9,6,3,4,1,3,2,2,2,1,5,6,2,0,0,0,2,0,1
Orange County,California,6,59,3,0,3,2,0,1,2,1,1,1,7,6,0,0,0,0,0,0,0
Placer County,California,6,61,1,4,3,0,2,2,3,0,1,4,0,1,2,1,0,0,2,3,0
Plumas County,California,6,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Riverside County,California,6,65,3,2,1,2,1,4,0,0,1,5,1,5,1,2,3,2,4,4,5
Sacramento County,California,6,67,3,4,2,4,2,6,3,2,0,0,1,1,0,0,0,0,1,1,3
San Benito County,California,6,69,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
San Bernardino County,California,6,71,1,0,0,1,0,0,0,0,1,2,0,2,0,1,0,1,1,0,1
San Diego County,California,6,73,9,3,7,2,4,8,9,5,3,10,10,7,6,6,7,10,7,5,7
San Francisco County,California,6,75,2,3,3,3,1,8,6,3,5,1,10,1,1,9,0,0,0,18,16
San Joaquin County,California,6,77,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1
San Luis Obispo County,California,6,79,1,0,0,0,0,1,0,0,1,0,0,1,0,3,3,4,2,0,2
San Mateo County,California,6,81,2,4,3,5,1,4,2,0,2,11,2,0,1,8,5,5,8,2,0
Santa Barbara County,California,6,83,0,1,2,3,2,0,0,2,2,9,1,5,0,7,1,3,6,3,5
Santa Clara County,California,6,85,2,2,6,4,0,2,9,2,0,2,4,10,4,12,5,10,16,23,7
Santa Cruz County,California,6,87,5,10,1,7,3,0,6,5,2,5,7,8,6,7,6,7,4,19,9
Shasta County,California,6,89,0,2,1,0,2,2,0,0,0,0,5,1,1,0,0,0,1,1,0
Sierra County,California,6,91,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Siskiyou County,California,6,93,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
Solano County,California,6,95,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2
Sonoma County,California,6,97,8,6,4,9,2,9,8,9,9,10,9,3,12,7,10,12,14,16,11
Stanislaus County,California,6,99,1,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,3,6
Sutter County,California,6,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama County,California,6,103,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Trinity County,California,6,105,1,1,1,1,3,3,0,1,0,0,1,1,0,1,1,0,0,0,0
Tulare County,California,6,107,0,2,0,0,0,0,0,1,0,4,2,0,1,1,0,1,1,2,0
Tuolumne County,California,6,109,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0
Ventura County,California,6,111,2,2,1,1,2,1,0,4,2,3,4,0,2,2,0,0,6,4,3
Yolo County,California,6,113,0,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,1,3,1
Yuba County,California,6,115,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
California,California,6,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams County,Colorado,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alamosa County,Colorado,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapahoe County,Colorado,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Archuleta County,Colorado,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baca County,Colorado,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent County,Colorado,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boulder County,Colorado,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broomfield County,Colorado,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaffee County,Colorado,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County,Colorado,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear Creek County,Colorado,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
